ward,n,area_ha,area_median_ha,area_max_ha,n_in_use,n_municipal,borough,electors,area_km2,has_polygon,n_disused,n_per_km2,area_pct_of_ward,n_per_10k_electors,disused_share,municipal_share
60,0,0.0,,,0,0,VI,37117,0.5819393668938907,True,0,0.0,0.0,0.0,,
61,0,0.0,,,0,0,VI,28442,0.6425972387594223,True,0,0.0,0.0,0.0,,
62,1,0.73,0.73,0.73,1,1,VI,34634,0.3879364609419748,True,0,2.577741719795639,1.8817514554508166,0.28873361436738465,0.0,1.0
63,8,6.29,0.495,3.02,6,8,VII,21194,3.7992018778574166,True,2,2.1057054237169543,1.6556108893974553,3.7746532037369067,0.25,1.0
64,1,0.3,0.3,0.3,1,0,VII,30103,0.8514791917940887,True,0,1.1744268205697124,0.35232804617091373,0.3321928047038501,0.0,0.0
65,0,0.0,,,0,0,VII,57660,1.332425691773445,True,0,0.0,0.0,0.0,,
66,24,26.439999999999998,0.22499999999999998,13.37,22,12,VII,71157,1.9082578764345488,True,2,12.576916514471504,13.855569693442773,3.372823474851385,0.08333333333333333,0.5
67,45,8.57,0.1,0.9,32,10,VII,49705,1.8353663031127223,True,13,24.518266421085233,4.669367627304455,9.05341514938135,0.28888888888888886,0.2222222222222222
68,0,0.0,,,0,0,VIII,19017,0.9281489807309822,True,0,0.0,0.0,0.0,,
69,2,0.22,0.11,0.16,2,0,VIII,38047,2.0169270697647503,True,0,0.9916074953732835,0.1090768244910612,0.5256656240965122,0.0,0.0
70,0,0.0,,,0,0,VIII,18805,0.8324356609938462,True,0,0.0,0.0,0.0,,
71,3,0.79,0.35,0.37,3,1,IX,24635,1.039627136714977,True,0,2.8856499547322576,0.7598878214128278,1.217779581895677,0.0,0.3333333333333333
72,1,0.33,0.33,0.33,1,1,VIII,20415,0.5775291622183627,True,0,1.7315142947221458,0.5713997172583081,0.48983590497183443,0.0,1.0
73,0,0.0,,,0,0,IX,21456,0.5419163286125048,True,0,0.0,0.0,0.0,,
74,0,0.0,,,0,0,IX,27716,3.3475525968477604,True,0,0.0,0.0,0.0,,
75,1,0.3,0.3,0.3,1,1,IX,22009,0.5629207781276894,True,0,1.776448905165775,0.5329346715497325,0.45435958017174793,0.0,1.0
